name,slug,category,metros,doordash_slug,ubereats_slug
"The PA Market",thepamarket,restaurant,pittsburgh,,
"Coop De Ville",coopdeville,restaurant,pittsburgh,,
"Kaya",kaya,restaurant,pittsburgh,,
"Cellars Speakeasy",cellarsspeakeasy,restaurant,pittsburgh,,
"Pizza Lupo",pizzalupo,pizza,pittsburgh,,
"Pizza Parma",pizzaparma,pizza,pittsburgh,,
"Proper Brick Oven & Tap Room",properbrickoventaproom,restaurant,pittsburgh,,
"Spak Brothers",spakbrothers,restaurant,pittsburgh,,
"Hofbräuhaus Pittsburgh",hofbruhauspittsburgh,restaurant,pittsburgh,,
"The Urban Tap",the-urban-tap,restaurant,pittsburgh,,
"Streets",streets,restaurant,pittsburgh,,
"Dish Osteria Bar",dishosteriabar,restaurant,pittsburgh,,
"Steel Mill Saloon",steelmillsaloon,restaurant,pittsburgh,,
"The Yard",theyard,restaurant,pittsburgh,,
"The Commoner",thecommoner,restaurant,pittsburgh,,
"Café Momentum Pittsburgh",cafmomentumpittsburgh,cafe,pittsburgh,,
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,pittsburgh,,
"HOME - Red Tea House",home-redteahouse,tea,pittsburgh,,
"The Urban Tap - Pittsburgh, PA 15203 (Menu & Order Online)",theurbantap-pittsburghpa15203menuorderon,restaurant,pittsburgh,,
"FABLED TABLE - PITTSBURGH, PA 15212 (Menu & Order Online)",fabledtable-pittsburghpa15212menuorderon,restaurant,pittsburgh,,
"Home - Dijlah Restaurant & Cafe",home-dijlahrestaurantcafe,cafe,pittsburgh,,
"NORTH SHORE CAFE - PITTSBURGH, PA 15233 (Menu ...",northshorecafe-pittsburghpa15233menu,cafe,pittsburgh,,
"Severina - Pittsburgh, PA 152291604 (Menu & Order Online)",severina-pittsburghpa152291604menuordero,restaurant,pittsburgh,,
"SAUSALIDO - Pittsburgh, PA 152241922 (Menu & Order Online)",sausalido-pittsburghpa152241922menuorder,restaurant,pittsburgh,,
"Home - THE SPOT",home-thespot,restaurant,pittsburgh,,
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,pittsburgh,,
"RestaurantGPT",restaurantgpt,restaurant,pittsburgh,,
"Restaurant Marketing Blog",restaurantmarketingblog,restaurant,pittsburgh,,
"Pita Jungle",pitajungle,mediterranean,pittsburgh,,
"Family Express",familyexpress,restaurant,pittsburgh,,
"Norms",norms,restaurant,pittsburgh,,
"Olo - Restaurant Technology & Digital Ordering Platform",olo-restauranttechnologydigitalorderingp,restaurant,pittsburgh,,
"Pita Jungle Catering",pitajunglecatering,mediterranean,pittsburgh,,
"Modern Market",modernmarket,restaurant,pittsburgh,,
"Lechon",lechon,restaurant,portland,,
"The Observatory",theobservatory,restaurant,portland,,
"Andina",andina,restaurant,portland,,
"kann",kann,restaurant,portland,,
"Farmhouse Kitchen Thai Cuisine | Pearl District",farmhousekitchenthaicuisinepearldistrict,thai,portland,,
"OX Restaurant",oxrestaurant,restaurant,portland,,
"Arden Restaurant Portland",ardenrestaurantportland,restaurant,portland,,
"Brix Tavern - Pearl",brixtavern-pearl,restaurant,portland,,
"Via Delizia",viadelizia,deli,portland,,
"Janken",janken,restaurant,portland,,
"Urdaneta",urdaneta,restaurant,portland,,
"Gumba",gumba,restaurant,portland,,
"Bye and Bye",byeandbye,restaurant,portland,,
"Terra Mae",terramae,restaurant,portland,,
"Petite Provence Boulangerie & Patisserie",petiteprovenceboulangeriepatisserie,restaurant,portland,,
"thơm® Portland",thmportland,restaurant,portland,,
"DarSalam Restaurant & Catering (Alberta)",darsalamrestaurantcateringalberta,restaurant,portland,,
"Kinboshi Ramen",kinboshiramen,japanese,portland,,
"Kizuki Ramen & Izakaya (Uptown)",kizukiramenizakayauptown,japanese,portland,,
"Wu-Rons",wu-rons,restaurant,portland,,
"Toya Ramen & Bar",toyaramenbar,japanese,portland,,
"Ramen Ryoma",ramenryoma,japanese,portland,,
"AFURI IZAKAYA SE PORTLAND",afuriizakayaseportland,japanese,portland,,
"Baka Umai",bakaumai,restaurant,portland,,
"Ramen Ryoma Beaverton",ramenryomabeaverton,japanese,portland,,
"Kizuki Ramen & Izakaya (Beaverton)",kizukiramenizakayabeaverton,japanese,portland,,
"Tabor Tavern",tabortavern,restaurant,portland,,
"The Eastburn",theeastburn,restaurant,portland,,
"Flattop & Salamander",flattopsalamander,restaurant,portland,,
"HunnyMilk",hunnymilk,restaurant,portland,,
"Eggs & Co.",eggsco,breakfast,portland,,
"Gravy",gravy,restaurant,portland,,
"Stepping Stone Cafe",steppingstonecafe,cafe,portland,,
"CARTOPIA FOOD CARTS",cartopiafoodcarts,restaurant,portland,,
"Hawthorne Asylum Food Cart Pod",hawthorneasylumfoodcartpod,restaurant,portland,,
"Hinterland Bar & Food Carts",hinterlandbarfoodcarts,restaurant,portland,,
"Park the Carts",parkthecarts,restaurant,portland,,
"Piedmont Station Food Carts",piedmontstationfoodcarts,restaurant,portland,,
"Farmer and the Beast- NW Portland",farmerandthebeast-nwportland,restaurant,portland,,
"Cartside Food Carts",cartsidefoodcarts,restaurant,portland,,
"Tokyo Sando",tokyosando,restaurant,portland,,
"The Heist Bar & Food Carts",theheistbarfoodcarts,restaurant,portland,,
"WonderLove",wonderlove,restaurant,portland,,
"Apizza Scholls",apizzascholls,pizza,portland,,
"Secret Pizza Society",secretpizzasociety,pizza,portland,,
"GRANA Pizza Napoletana",granapizzanapoletana,pizza,portland,,
"Pizza Thief",pizzathief,pizza,portland,,
"The Turning Peel Pizza",theturningpeelpizza,pizza,portland,,
"Gracie’s Apizza",graciesapizza,pizza,portland,,
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,portland,,
"Mama Rosa – Mexican Food in Olive Branch",mamarosamexicanfoodinolivebranch,mexican,portland,,
"How to create (and use) a restaurant email list",howtocreateandusearestaurantemaillist,restaurant,portland,,
"The ultimate guide to restaurant branding",theultimateguidetorestaurantbranding,restaurant,portland,,
"Home - THAI HOT POT HEAVEN",home-thaihotpotheaven,thai,portland,,
"Studio One Theaters",studioonetheaters,restaurant,portland,,
"The Best Online Ordering System for Restaurants in 2024",thebestonlineorderingsystemforrestaurant,restaurant,portland,,
"Which Restaurant Reservation System Should You Use?",whichrestaurantreservationsystemshouldyo,restaurant,portland,,
"Restaurant Marketing & Commerce Platform",restaurantmarketingcommerceplatform,restaurant,portland,,
"BentoBox",bentobox,restaurant,portland,,
"Direct Online Ordering System Advantages for Restaurants",directonlineorderingsystemadvantagesforr,restaurant,portland,,
"Looking For Delivery Fulfillment For Your Restaurant?",lookingfordeliveryfulfillmentforyourrest,deli,portland,,
"Pre",pre,restaurant,portland,,
"The Mill Raleigh",themillraleigh,restaurant,raleigh,,
"Flavor Hills",flavorhills,restaurant,raleigh,,
"RH Rooftop Restaurant at RH Raleigh",rhrooftoprestaurantatrhraleigh,restaurant,raleigh,,
"Vidrio",vidrio,restaurant,raleigh,,
"Madre",madre,restaurant,raleigh,,
"Stanbury",stanbury,restaurant,raleigh,,
"Second Empire Restaurant and Tavern",secondempirerestaurantandtavern,restaurant,raleigh,,
"Angus Barn",angusbarn,restaurant,raleigh,,
"Guglhupf Restaurant",guglhupfrestaurant,restaurant,raleigh,,
"Little Bull",littlebull,restaurant,raleigh,,
"HAWTHORNE & WOOD",hawthornewood,restaurant,raleigh,,
"Bluebird",bluebird,restaurant,raleigh,,
"One40 Social",one40social,restaurant,raleigh,,
"Proximo",proximo,restaurant,raleigh,,
"Top of the Hill Restaurant & Brewery",topofthehillrestaurantbrewery,cafe,raleigh,,
"Oakleaf",oakleaf,restaurant,raleigh,,
"Bombolo",bombolo,restaurant,raleigh,,
"Glasshalfull",glasshalfull,restaurant,raleigh,,
"Ole Time Barbecue",oletimebarbecue,bbq,raleigh,,
"The Redneck BBQ Lab",theredneckbbqlab,bbq,raleigh,,
"Prime Barbecue",primebarbecue,bbq,raleigh,,
"Dampf Good BBQ",dampfgoodbbq,bbq,raleigh,,
"Oink N Moo",oinknmoo,restaurant,raleigh,,
"Lechon Latin BBQ & Bar",lechonlatinbbqbar,bbq,raleigh,,
"Chop Shop BBQ & Grill",chopshopbbqgrill,bbq,raleigh,,
"Home - Taverna Agora - Greek Restaurant in Raleigh, NC",home-tavernaagora-greekrestaurantinralei,mediterranean,raleigh,,
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,raleigh,,
"Restaurant analytics: How to collect (and use) guest data",restaurantanalyticshowtocollectandusegue,restaurant,raleigh,,
"How North Carolina Became a Restaurant Powerhouse",hownorthcarolinabecamearestaurantpowerho,restaurant,raleigh,,
"12 Valentine’s Day Restaurant Ideas for 2024",12valentinesdayrestaurantideasfor2024,restaurant,raleigh,,
"Born and Raised",bornandraised,restaurant,sandiego,,
"Juniper and Ivy",juniperandivy,restaurant,sandiego,,
"Freddy’s Chophouse",freddyschophouse,steakhouse,sandiego,,
"Wolf In The Woods",wolfinthewoods,restaurant,sandiego,,
"insideOUT",insideout,restaurant,sandiego,,
"Buon Appetito Restaurant",buonappetitorestaurant,restaurant,sandiego,,
"Herb & Wood",herbwood,restaurant,sandiego,,
"C Level Lounge",clevellounge,restaurant,sandiego,,
"The Fish Market",thefishmarket,seafood,sandiego,,
"La Puerta",lapuerta,restaurant,sandiego,,
"Werewolf",werewolf,restaurant,sandiego,,
"Osteria Panevino",osteriapanevino,restaurant,sandiego,,
"Union Kitchen and Tap Gaslamp",unionkitchenandtapgaslamp,restaurant,sandiego,,
"Zama San Diego",zamasandiego,restaurant,sandiego,,
"The Melt",themelt,restaurant,sandiego,,
"The Smoking Goat",thesmokinggoat,restaurant,sandiego,,
"One Door North",onedoornorth,restaurant,sandiego,,
"Cocina de Barrio North Park",cocinadebarrionorthpark,restaurant,sandiego,,
"RustiCucina",rusticucina,restaurant,sandiego,,
"Carbon Angela’s Kitchen",carbonangelaskitchen,restaurant,sandiego,,
"Bacari North Park",bacarinorthpark,restaurant,sandiego,,
"Black Radish",blackradish,restaurant,sandiego,,
"Flora North Park",floranorthpark,restaurant,sandiego,,
"Casa Guadalajara Mexican Restaurant",casaguadalajaramexicanrestaurant,mexican,sandiego,,
"Ed Fernandez Restaurant Birrieria",edfernandezrestaurantbirrieria,restaurant,sandiego,,
"Old Town Mexican Cafe",oldtownmexicancafe,mexican,sandiego,,
"Casa de Reyes",casadereyes,restaurant,sandiego,,
"El Agave Restaurant & Tequileria",elagaverestauranttequileria,restaurant,sandiego,,
"La Casa Verde",lacasaverde,restaurant,sandiego,,
"Tacos El Gordo",tacoselgordo,mexican,sandiego,,
"Louisiana Purchase",louisianapurchase,restaurant,sandiego,,
"Blue Water Seafood Market & Grill",bluewaterseafoodmarketgrill,seafood,sandiego,,
"Portside Pier",portsidepier,restaurant,sandiego,,
"Ironside Fish & Oyster",ironsidefishoyster,seafood,sandiego,,
"Water Grill San Diego",watergrillsandiego,restaurant,sandiego,,
"The Fishery",thefishery,seafood,sandiego,,
"Point Loma Seafoods",pointlomaseafoods,seafood,sandiego,,
"Cove House",covehouse,restaurant,sandiego,,
"Georges at the Cove",georgesatthecove,restaurant,sandiego,,
"The Cottage La Jolla",thecottagelajolla,restaurant,sandiego,,
"Catania",catania,restaurant,sandiego,,
"Puesto La Jolla",puestolajolla,restaurant,sandiego,,
"Beeside Balcony La Jolla",beesidebalconylajolla,restaurant,sandiego,,
"NINE-TEN Restaurant & Bar",nine-tenrestaurantbar,restaurant,sandiego,,
"The Marine Room",themarineroom,restaurant,sandiego,,
"Brockton Villa",brocktonvilla,restaurant,sandiego,,
"Madi",madi,restaurant,sandiego,,
"Morning Glory",morningglory,breakfast,sandiego,,
"Hash House A Go Go",hashhouseagogo,restaurant,sandiego,,
"Mission Valley Breakfast Company",missionvalleybreakfastcompany,breakfast,sandiego,,
"Breakfast Republic",breakfastrepublic,breakfast,sandiego,,
"Great Maple",greatmaple,restaurant,sandiego,,
"Parkhouse Eatery",parkhouseeatery,restaurant,sandiego,,
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,sandiego,,
"Homepage",homepage,restaurant,sandiego,,
"Mexican Food & Catering - Del Mar & Carmel Valley",mexican-food-catering-del-mar-carmel-valley,mexican,sandiego,,
"Tocaya Organica",tocayaorganica,restaurant,sandiego,,
"Please inform us of any allergies or dietary restrictions.",pleaseinformusofanyallergiesordietaryres,restaurant,sandiego,,
"DINNER Fall 2021 STARTERS",dinnerfall2021starters,restaurant,sandiego,,
"Assistance and Resource Guide for Restaurants",assistanceandresourceguideforrestaurants,restaurant,sandiego,,
"Which Restaurant Reservation System Should You Use?",whichrestaurantreservationsystemshouldyo,restaurant,sandiego,,
"Take Online Orders Through Facebook & Instagram",takeonlineordersthroughfacebookinstagram,restaurant,sandiego,,
"Direct Online Ordering System Advantages for Restaurants",directonlineorderingsystemadvantagesforr,restaurant,sandiego,,
"Can Can Seattle: A Culinary Cabaret",cancanseattleaculinarycabaret,restaurant,seattle,,
"Spinasse",spinasse,restaurant,seattle,,
"The Pink Door",thepinkdoor,restaurant,seattle,,
"Nue",nue,restaurant,seattle,,
"Terra Plata",terraplata,restaurant,seattle,,
"Taurus Ox",taurusox,restaurant,seattle,,
"MariPili Tapas Bar",maripilitapasbar,restaurant,seattle,,
"Taneda",taneda,restaurant,seattle,,
"Fuego Restaurant Lounge Ballard",fuegorestaurantloungeballard,restaurant,seattle,,
"The Walrus and the Carpenter",thewalrusandthecarpenter,restaurant,seattle,,
"Brimmer & Heeltap",brimmerheeltap,restaurant,seattle,,
"Sabine Café & Bar",sabinecafbar,cafe,seattle,,
"Secret Congee",secretcongee,restaurant,seattle,,
"Stoneburner",stoneburner,restaurant,seattle,,
"Bongos",bongos,restaurant,seattle,,
"Din Tai Fung 鼎泰豐",dintaifung,restaurant,seattle,,
"E-Jae Pak Mor",e-jaepakmor,restaurant,seattle,,
"Tai Tung Restaurant",taitungrestaurant,restaurant,seattle,,
"Noi Thai Cuisine",noithaicuisine,thai,seattle,,
"Seastar Restaurant & Raw Bar",seastarrestaurantrawbar,restaurant,seattle,,
"The Pumphouse Bar & Grill",thepumphousebargrill,vietnamese,seattle,,
"Pestle Rock",pestlerock,restaurant,seattle,,
"Dreamland Bar & Diner",dreamlandbardiner,restaurant,seattle,,
"Le Coin",lecoin,restaurant,seattle,,
"RockCreek Seafood & Spirits",rockcreekseafoodspirits,seafood,seattle,,
"Cafe Turko",cafeturko,cafe,seattle,,
"Lupo",lupo,restaurant,seattle,,
"El Camino",elcamino,restaurant,seattle,,
"Saigon Drip Cafe",saigondripcafe,cafe,seattle,,
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,seattle,,
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,seattle,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,seattle,,
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,seattle,,
"Restaurant promotions are a powerful marketing tool",restaurantpromotionsareapowerfulmarketin,restaurant,seattle,,
"Do you need a restaurant waitlist app?",doyouneedarestaurantwaitlistapp,restaurant,seattle,,
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,seattle,,
"Restaurant Marketing Blog",restaurantmarketingblog,restaurant,seattle,,
"Easy Caribbean",easycaribbean,caribbean,seattle,,
"The Best Online Ordering System for Restaurants in 2024",thebestonlineorderingsystemforrestaurant,restaurant,seattle,,
"Which Restaurant Reservation System Should You Use?",whichrestaurantreservationsystemshouldyo,restaurant,seattle,,
"Looking For Delivery Fulfillment For Your Restaurant?",lookingfordeliveryfulfillmentforyourrest,deli,seattle,,
"The View Lounge",theviewlounge,restaurant,sf,,
"Absinthe Brasserie & Bar",absinthebrasseriebar,restaurant,sf,,
"Lazy Bear",lazybear,restaurant,sf,,
"The Morris",themorris,restaurant,sf,,
"La Taqueria",lataqueria,mexican,sf,,
"Rintaro",rintaro,restaurant,sf,,
"Sangria & Salt",sangriasalt,restaurant,sf,,
"Rich Table",richtable,restaurant,sf,,
"Suppenküche",suppenkche,restaurant,sf,,
"Doppio Zero San Francisco",doppiozerosanfrancisco,restaurant,sf,,
"Papito Hayes",papitohayes,restaurant,sf,,
"The Gambit",thegambit,restaurant,sf,,
"North Beach Restaurant",northbeachrestaurant,restaurant,sf,,
"Sotto Mare",sottomare,restaurant,sf,,
"The Italian Homemade Company",theitalianhomemadecompany,italian,sf,,
"The Stinking Rose",thestinkingrose,restaurant,sf,,
"Fog Harbor Fish House",fogharborfishhouse,seafood,sf,,
"Golden Boy Pizza",goldenboypizza,pizza,sf,,
"HK Lounge Bistro",hkloungebistro,restaurant,sf,,
"Good Luck Dim Sum",goodluckdimsum,chinese,sf,,
"Dumpling Time Design District",dumplingtimedesigndistrict,chinese,sf,,
"Good Mong Kok Bakery",goodmongkokbakery,bakery,sf,,
"City View Restaurant",cityviewrestaurant,restaurant,sf,,
"DIM SUM BEST Of TASTE",dimsumbestoftaste,chinese,sf,,
"Yank Sing (Stevenson St.)",yanksingstevensonst,restaurant,sf,,
"Bao Bao Dumpling",baobaodumpling,chinese,sf,,
"Almond and Oak",almondandoak,restaurant,sf,,
"Pomet",pomet,restaurant,sf,,
"The Cook and Her Farmer",thecookandherfarmer,restaurant,sf,,
"Fable",fable,restaurant,sf,,
"Anchor Oyster Bar",anchoroysterbar,seafood,sf,,
"Frances",frances,restaurant,sf,,
"Flora King Steakhouse",florakingsteakhouse,steakhouse,sf,,
"Potto",potto,restaurant,sf,,
"Blind Butcher",blindbutcher,restaurant,sf,,
"Dumpling Home",dumplinghome,chinese,sf,,
"Yank Sing (Spear St.)",yanksingspearst,restaurant,sf,,
"Farmhouse Kitchen Thai Cuisine",farmhousekitchenthaicuisine,thai,sf,,
"Parche",parche,restaurant,sf,,
"Grand Lake Kitchen - Lake Merritt",grandlakekitchen-lakemerritt,restaurant,sf,,
"Castro Indian Restaurant & Bar",castroindianrestaurantbar,indian,sf,,
"Cafe Mystique",cafemystique,cafe,sf,,
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,sf,,
"5 ways to ramp up your restaurant online ordering system",5waystorampupyourrestaurantonlineorderin,restaurant,sf,,
"Why every restaurant needs an interactive menu",whyeveryrestaurantneedsaninteractivemenu,restaurant,sf,,
"4 tech-focused tips to fight rising restaurant costs",4tech-focusedtipstofightrisingrestaurant,restaurant,sf,,
"Home - The Brixton San Francisco",home-thebrixtonsanfrancisco,restaurant,sf,,
"Which delivery service is best for restaurants?",whichdeliveryserviceisbestforrestaurants,deli,sf,,
"Home - Los Yaquis",home-losyaquis,restaurant,sf,,
"COCO RAMEN - SAN FRANCISCO, CA 94110 (Menu & Order Online)",cocoramen-sanfranciscoca94110menuorderon,japanese,sf,,
"Home - Mar y Mar",home-marymar,restaurant,sf,,
"Home - Suthathip Thai Restaurant",home-suthathipthairestaurant,thai,sf,,
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,sf,,
"RestaurantGPT",restaurantgpt,restaurant,sf,,
"Restaurant Marketing Blog",restaurantmarketingblog,restaurant,sf,,
"Norms",norms,restaurant,sf,,
"Z & Y Restaurant",zyrestaurant,restaurant,sf,,
"‭380 Golden Gate Ave, San Francisco 94102‬ ‭(415) 723-1955‬",380goldengateavesanfrancisco94102415723-,restaurant,sf,,
"Gracias Madre",graciasmadre,restaurant,sf,,
"Dalida",dalida,restaurant,sf,,
"Guerilla Catering",guerillacatering,restaurant,sf,,
"Del Popolo",delpopolo,restaurant,sf,,
"La Société Bar & Café",lasocitbarcaf,cafe,sf,,
"Lolinda SF",lolindasf,restaurant,sf,,
"Eleven Eleven Mississippi",elevenelevenmississippi,restaurant,stlouis,,
"Little Fox",littlefox,restaurant,stlouis,,
"Twisted Ranch",twistedranch,restaurant,stlouis,,
"Fleur STL",fleurstl,restaurant,stlouis,,
"Idol Wolf at 21c St. Louis",idolwolfat21cstlouis,restaurant,stlouis,,
"Retreat Gastropub",retreatgastropub,restaurant,stlouis,,
"Yellowbelly",yellowbelly,restaurant,stlouis,,
"The Scottish Arms",thescottisharms,restaurant,stlouis,,
"Edera Italian Eatery",ederaitalianeatery,italian,stlouis,,
"Bowood by Niche",bowoodbyniche,restaurant,stlouis,,
"The Tenderloin Room",thetenderloinroom,restaurant,stlouis,,
"Vicia",vicia,restaurant,stlouis,,
"Amigo Sole - Mexican Streetfood (Delmar Loop)",amigosole-mexicanstreetfooddelmarloop,mexican,stlouis,,
"Noodle Story小面故事",noodlestory,chinese,stlouis,,
"Eclipse Restaurant",eclipserestaurant,restaurant,stlouis,,
"CHA i ENJOY",chaienjoy,restaurant,stlouis,,
"The Delmar Loop",thedelmarloop,restaurant,stlouis,,
"Tous les Jours",touslesjours,restaurant,stlouis,,
"Smoke N Bones BBQ",smokenbonesbbq,bbq,stlouis,,
"Tuckers Place",tuckersplace,restaurant,stlouis,,
"Eat Crow",eatcrow,restaurant,stlouis,,
"Great Grizzly Bear",greatgrizzlybear,restaurant,stlouis,,
"1860 Saloon, Game Room, & Hardshell Café",1860saloongameroomhardshellcaf,cafe,stlouis,,
"The Clover and the Bee",thecloverandthebee,restaurant,stlouis,,
"The Bellwether",thebellwether,restaurant,stlouis,,
"Turn",turn,restaurant,stlouis,,
"Swole Food",swolefood,restaurant,stlouis,,
"Join the group text: Text message marketing for restaurants",jointhegrouptexttextmessagemarketingforr,restaurant,stlouis,,
"Restaurant menu ideas: 9 of the best menus to inspire you",restaurantmenuideas9ofthebestmenustoinsp,restaurant,stlouis,,
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,stlouis,,
"How to create (and use) a restaurant email list",howtocreateandusearestaurantemaillist,restaurant,stlouis,,
"El Indio Hampton - St. Louis, MO 63139 (Menu & Order Online)",elindiohampton-stlouismo63139menuorderon,restaurant,stlouis,,
"Home - Majeed Mediterranean Restaurant",home-majeedmediterraneanrestaurant,mediterranean,stlouis,,
"Restaurant Consulting Group",restaurantconsultinggroup,restaurant,stlouis,,
"Naked Farmer",nakedfarmer,restaurant,tampa,,
"Ulele",ulele,restaurant,tampa,,
"OLIVIA",olivia,restaurant,tampa,,
"Rocca",rocca,restaurant,tampa,,
"Rusty Pelican Tampa",rustypelicantampa,restaurant,tampa,,
"Seasons 52",seasons52,restaurant,tampa,,
"Madame Fortune Dessert + HiFi Parlour",madamefortunedesserthifiparlour,restaurant,tampa,,
"Teak",teak,tea,tampa,,
"Parkshore Grill",parkshoregrill,restaurant,tampa,,
"Social Roost",socialroost,restaurant,tampa,,
"Brick & Mortar",brickmortar,restaurant,tampa,,
"Elliott Aster",elliottaster,restaurant,tampa,,
"The Library - inspired by the George Peabody Library",thelibrary-inspiredbythegeorgepeabodylib,restaurant,tampa,,
"La Teresita Restaurant",lateresitarestaurant,restaurant,tampa,,
"Soul de Cuba Cafe",souldecubacafe,cafe,tampa,,
"Columbia Restaurant",columbiarestaurant,restaurant,tampa,,
"A lo cubanisimo",alocubanisimo,latin,tampa,,
"El Cubano",elcubano,latin,tampa,,
"Columbia Restaurant Sand Key",columbiarestaurantsandkey,restaurant,tampa,,
"West Tampa Sandwich Shop",westtampasandwichshop,deli,tampa,,
"On Swann",onswann,restaurant,tampa,,
"Green Lemon",greenlemon,restaurant,tampa,,
"Salt Shack On The Bay",saltshackonthebay,restaurant,tampa,,
"Hula Bay Club",hulabayclub,restaurant,tampa,,
"Bahama Breeze",bahamabreeze,restaurant,tampa,,
"DUMMY CRABBY",dummycrabby,seafood,tampa,,
"How to set up online food ordering in an afternoon",howtosetuponlinefoodorderinginanafternoo,restaurant,tampa,,
"Uptown, Tampa Diner: Home",uptowntampadinerhome,restaurant,tampa,,
"Home - Ginza",home-ginza,restaurant,tampa,,
"Online Ordering and Restaurant Marketing System",onlineorderingandrestaurantmarketingsyst,restaurant,tampa,,
"Restaurant Marketing Blog",restaurantmarketingblog,restaurant,tampa,,
"NY to Philly",nytophilly,restaurant,tampa,,
"La Canasta Food Truck",lacanastafoodtruck,restaurant,tampa,,
"Psomi Restaurant",psomirestaurant,restaurant,tampa,,
"Fish Restaurant Miami Beach",fishrestaurantmiamibeach,seafood,tampa,,
"Meat Market",meatmarket,restaurant,tampa,,
"Restaurant Website Inspiration for 2020",restaurantwebsiteinspirationfor2020,restaurant,tampa,,
